scenario,repetition,scheme,test_cindex,test_cindex_gain,support_recovery,no_relation,censoring_fraction
R1_one_reliable,44,joint_m0,0.5790500975927131,-0.030579050097592653,0.55,0.0,0.4
R1_one_reliable,44,joint_m005,0.5790500975927131,-0.030579050097592653,0.55,0.0,0.4
R1_one_reliable,44,joint_m010,0.6330513988288874,0.02342225113858165,0.6,0.0,0.4
R1_one_reliable,44,joint_m020,0.6330513988288874,0.02342225113858165,0.6,0.0,0.4
R1_one_reliable,45,joint_m0,0.6716162193032553,0.021701884637350122,0.65,0.0,0.3833333333333333
R1_one_reliable,45,joint_m005,0.7150199885779555,0.06510565391205025,0.7,0.0,0.3833333333333333
R1_one_reliable,45,joint_m010,0.7150199885779555,0.06510565391205025,0.7,0.0,0.3833333333333333
R1_one_reliable,45,joint_m020,0.7150199885779555,0.06510565391205025,0.7,0.0,0.3833333333333333
R1_one_reliable,46,joint_m0,0.6803472770323599,-0.028413575374901412,0.7,0.0,0.44999999999999996
R1_one_reliable,46,joint_m005,0.6803472770323599,-0.028413575374901412,0.7,0.0,0.44999999999999996
R1_one_reliable,46,joint_m010,0.6803472770323599,-0.028413575374901412,0.7,0.0,0.44999999999999996
R1_one_reliable,46,joint_m020,0.6803472770323599,-0.028413575374901412,0.7,0.0,0.44999999999999996
R1_one_reliable,47,joint_m0,0.5727728983688833,0.0037641154328733606,0.25,0.0,0.4
R1_one_reliable,47,joint_m005,0.5727728983688833,0.0037641154328733606,0.25,0.0,0.4
R1_one_reliable,47,joint_m010,0.5727728983688833,0.0037641154328733606,0.25,0.0,0.4
R1_one_reliable,47,joint_m020,0.5727728983688833,0.0037641154328733606,0.25,0.0,0.4
R1_one_reliable,48,joint_m0,0.6108140225787284,-0.02020202020202022,0.8,0.0,0.39722222222222225
R1_one_reliable,48,joint_m005,0.6108140225787284,-0.02020202020202022,0.8,0.0,0.39722222222222225
R1_one_reliable,48,joint_m010,0.6108140225787284,-0.02020202020202022,0.8,0.0,0.39722222222222225
R1_one_reliable,48,joint_m020,0.6108140225787284,-0.02020202020202022,0.8,0.0,0.39722222222222225
R1_one_reliable,49,joint_m0,0.6388294075660242,0.09421841541755882,0.65,0.0,0.4277777777777778
R1_one_reliable,49,joint_m005,0.6388294075660242,0.09421841541755882,0.65,0.0,0.4277777777777778
R1_one_reliable,49,joint_m010,0.6388294075660242,0.09421841541755882,0.65,0.0,0.4277777777777778
R1_one_reliable,49,joint_m020,0.6388294075660242,0.09421841541755882,0.65,0.0,0.4277777777777778
R2_complementary,0,joint_m0,0.6376423308774279,0.06630944407233752,0.65,0.0,0.4277777777777778
R2_complementary,0,joint_m005,0.6376423308774279,0.06630944407233752,0.65,0.0,0.4277777777777778
R2_complementary,0,joint_m010,0.6376423308774279,0.06630944407233752,0.65,0.0,0.4277777777777778
R2_complementary,0,joint_m020,0.6376423308774279,0.06630944407233752,0.65,0.0,0.4277777777777778
R2_complementary,1,joint_m0,0.6370607028753994,0.022364217252396235,0.45,0.0,0.3666666666666667
R2_complementary,1,joint_m005,0.6370607028753994,0.022364217252396235,0.45,0.0,0.3666666666666667
